_comparatorDate,_labourCategory,_previousMonth,_previousYear,Age group,Date,Labour force characteristics,Sex,_valueConnector,Value
March 2005,,2006-02-01,2005-03-01,All working ages (15+),2006-03-01,Unemployment Rate,Everyone,5.6,5.6
March 2005,15 to 24,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Participation Rate,Everyone,65.2,65.2
April 2005,15 to 24,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Participation Rate,Everyone,65.7,65.7
May 2005,15 to 24,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Participation Rate,Everyone,68.5,68.5
June 2005,15 to 24,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Participation Rate,Everyone,71.5,71.5
July 2005,15 to 24,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Participation Rate,Everyone,75.4,75.4
August 2005,15 to 24,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Participation Rate,Everyone,77.5,77.5
September 2005,15 to 24,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Participation Rate,Everyone,74.1,74.1
October 2005,15 to 24,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Participation Rate,Everyone,70.1,70.1
November 2005,15 to 24,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Participation Rate,Everyone,66,66
December 2005,15 to 24,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Participation Rate,Everyone,67.9,67.9
January 2006,15 to 24,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Participation Rate,Everyone,67.4,67.4
February 2006,15 to 24,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Participation Rate,Everyone,67.1,67.1
March 2006,15 to 24,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Participation Rate,Everyone,66.5,66.5
April 2006,15 to 24,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Participation Rate,Everyone,68.7,68.7
March 2005,15 to 24,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Unemployment Rate,Everyone,10.2,10.2
April 2005,15 to 24,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Unemployment Rate,Everyone,9.7,9.7
May 2005,15 to 24,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Unemployment Rate,Everyone,10.8,10.8
June 2005,15 to 24,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Unemployment Rate,Everyone,9.7,9.7
July 2005,15 to 24,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Unemployment Rate,Everyone,10.2,10.2
August 2005,15 to 24,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Unemployment Rate,Everyone,8.6,8.6
September 2005,15 to 24,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Unemployment Rate,Everyone,9.5,9.5
October 2005,15 to 24,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Unemployment Rate,Everyone,8.2,8.2
November 2005,15 to 24,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Unemployment Rate,Everyone,8.6,8.6
December 2005,15 to 24,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Unemployment Rate,Everyone,8.1,8.1
January 2006,15 to 24,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Unemployment Rate,Everyone,8.7,8.7
February 2006,15 to 24,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Unemployment Rate,Everyone,8.3,8.3
March 2006,15 to 24,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Unemployment Rate,Everyone,8.8,8.8
April 2006,15 to 24,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Unemployment Rate,Everyone,8,8
March 2005,,2006-02-01,2005-03-01,All working ages (15+),2006-03-01,Participation Rate,Everyone,67.4,67.4
April 2005,,2006-03-01,2005-04-01,All working ages (15+),2006-04-01,Participation Rate,Everyone,68,68
May 2005,,2006-04-01,2005-05-01,All working ages (15+),2006-05-01,Participation Rate,Everyone,69,69
June 2005,,2006-05-01,2005-06-01,All working ages (15+),2006-06-01,Participation Rate,Everyone,69.9,69.9
July 2005,,2006-06-01,2005-07-01,All working ages (15+),2006-07-01,Participation Rate,Everyone,70.4,70.4
August 2005,,2006-07-01,2005-08-01,All working ages (15+),2006-08-01,Participation Rate,Everyone,70.3,70.3
September 2005,,2006-08-01,2005-09-01,All working ages (15+),2006-09-01,Participation Rate,Everyone,69.3,69.3
October 2005,,2006-09-01,2005-10-01,All working ages (15+),2006-10-01,Participation Rate,Everyone,68.6,68.6
November 2005,,2006-10-01,2005-11-01,All working ages (15+),2006-11-01,Participation Rate,Everyone,68.2,68.2
December 2005,,2006-11-01,2005-12-01,All working ages (15+),2006-12-01,Participation Rate,Everyone,68.7,68.7
January 2006,,2006-12-01,2006-01-01,All working ages (15+),2007-01-01,Participation Rate,Everyone,68.6,68.6
February 2006,,2007-01-01,2006-02-01,All working ages (15+),2007-02-01,Participation Rate,Everyone,68.3,68.3
March 2006,,2007-02-01,2006-03-01,All working ages (15+),2007-03-01,Participation Rate,Everyone,68.1,68.1
April 2006,,2007-03-01,2006-04-01,All working ages (15+),2007-04-01,Participation Rate,Everyone,68.7,68.7
April 2005,,2006-03-01,2005-04-01,All working ages (15+),2006-04-01,Unemployment Rate,Everyone,5.5,5.5
May 2005,,2006-04-01,2005-05-01,All working ages (15+),2006-05-01,Unemployment Rate,Everyone,5.5,5.5
June 2005,,2006-05-01,2005-06-01,All working ages (15+),2006-06-01,Unemployment Rate,Everyone,5.1,5.1
July 2005,,2006-06-01,2005-07-01,All working ages (15+),2006-07-01,Unemployment Rate,Everyone,5.2,5.2
August 2005,,2006-07-01,2005-08-01,All working ages (15+),2006-08-01,Unemployment Rate,Everyone,5,5
September 2005,,2006-08-01,2005-09-01,All working ages (15+),2006-09-01,Unemployment Rate,Everyone,5.3,5.3
October 2005,,2006-09-01,2005-10-01,All working ages (15+),2006-10-01,Unemployment Rate,Everyone,4.8,4.8
November 2005,,2006-10-01,2005-11-01,All working ages (15+),2006-11-01,Unemployment Rate,Everyone,4.3,4.3
December 2005,,2006-11-01,2005-12-01,All working ages (15+),2006-12-01,Unemployment Rate,Everyone,4.2,4.2
January 2006,,2006-12-01,2006-01-01,All working ages (15+),2007-01-01,Unemployment Rate,Everyone,4.5,4.5
February 2006,,2007-01-01,2006-02-01,All working ages (15+),2007-02-01,Unemployment Rate,Everyone,4.8,4.8
March 2006,,2007-02-01,2006-03-01,All working ages (15+),2007-03-01,Unemployment Rate,Everyone,5,5
April 2006,,2007-03-01,2006-04-01,All working ages (15+),2007-04-01,Unemployment Rate,Everyone,5.2,5.2
March 2005,25 to 54,2006-02-01,2005-03-01,25 to 54 years,2006-03-01,Participation Rate,Everyone,87,87
April 2005,25 to 54,2006-03-01,2005-04-01,25 to 54 years,2006-04-01,Participation Rate,Everyone,87,87
May 2005,25 to 54,2006-04-01,2005-05-01,25 to 54 years,2006-05-01,Participation Rate,Everyone,87.1,87.1
June 2005,25 to 54,2006-05-01,2005-06-01,25 to 54 years,2006-06-01,Participation Rate,Everyone,87.4,87.4
July 2005,25 to 54,2006-06-01,2005-07-01,25 to 54 years,2006-07-01,Participation Rate,Everyone,87,87
August 2005,25 to 54,2006-07-01,2005-08-01,25 to 54 years,2006-08-01,Participation Rate,Everyone,86.8,86.8
September 2005,25 to 54,2006-08-01,2005-09-01,25 to 54 years,2006-09-01,Participation Rate,Everyone,86.7,86.7
October 2005,25 to 54,2006-09-01,2005-10-01,25 to 54 years,2006-10-01,Participation Rate,Everyone,87,87
November 2005,25 to 54,2006-10-01,2005-11-01,25 to 54 years,2006-11-01,Participation Rate,Everyone,87.2,87.2
December 2005,25 to 54,2006-11-01,2005-12-01,25 to 54 years,2006-12-01,Participation Rate,Everyone,87,87
January 2006,25 to 54,2006-12-01,2006-01-01,25 to 54 years,2007-01-01,Participation Rate,Everyone,87.1,87.1
February 2006,25 to 54,2007-01-01,2006-02-01,25 to 54 years,2007-02-01,Participation Rate,Everyone,87.2,87.2
March 2006,25 to 54,2007-02-01,2006-03-01,25 to 54 years,2007-03-01,Participation Rate,Everyone,87.3,87.3
April 2006,25 to 54,2007-03-01,2006-04-01,25 to 54 years,2007-04-01,Participation Rate,Everyone,87.3,87.3
March 2005,25 to 54,2006-02-01,2005-03-01,25 to 54 years,2006-03-01,Unemployment Rate,Everyone,4.5,4.5
April 2005,25 to 54,2006-03-01,2005-04-01,25 to 54 years,2006-04-01,Unemployment Rate,Everyone,4.6,4.6
May 2005,25 to 54,2006-04-01,2005-05-01,25 to 54 years,2006-05-01,Unemployment Rate,Everyone,4.4,4.4
June 2005,25 to 54,2006-05-01,2005-06-01,25 to 54 years,2006-06-01,Unemployment Rate,Everyone,4.1,4.1
July 2005,25 to 54,2006-06-01,2005-07-01,25 to 54 years,2006-07-01,Unemployment Rate,Everyone,3.9,3.9
August 2005,25 to 54,2006-07-01,2005-08-01,25 to 54 years,2006-08-01,Unemployment Rate,Everyone,4,4
September 2005,25 to 54,2006-08-01,2005-09-01,25 to 54 years,2006-09-01,Unemployment Rate,Everyone,4.2,4.2
October 2005,25 to 54,2006-09-01,2005-10-01,25 to 54 years,2006-10-01,Unemployment Rate,Everyone,3.8,3.8
November 2005,25 to 54,2006-10-01,2005-11-01,25 to 54 years,2006-11-01,Unemployment Rate,Everyone,3.3,3.3
December 2005,25 to 54,2006-11-01,2005-12-01,25 to 54 years,2006-12-01,Unemployment Rate,Everyone,3.1,3.1
January 2006,25 to 54,2006-12-01,2006-01-01,25 to 54 years,2007-01-01,Unemployment Rate,Everyone,3.5,3.5
February 2006,25 to 54,2007-01-01,2006-02-01,25 to 54 years,2007-02-01,Unemployment Rate,Everyone,3.8,3.8
March 2006,25 to 54,2007-02-01,2006-03-01,25 to 54 years,2007-03-01,Unemployment Rate,Everyone,4.2,4.2
April 2006,25 to 54,2007-03-01,2006-04-01,25 to 54 years,2007-04-01,Unemployment Rate,Everyone,4.6,4.6
March 2005,,2006-02-01,2005-03-01,55 years and over,2006-03-01,Participation Rate,Everyone,31.2,31.2
April 2005,,2006-03-01,2005-04-01,55 years and over,2006-04-01,Participation Rate,Everyone,32,32
May 2005,,2006-04-01,2005-05-01,55 years and over,2006-05-01,Participation Rate,Everyone,32,32
June 2005,,2006-05-01,2005-06-01,55 years and over,2006-06-01,Participation Rate,Everyone,31.3,31.3
July 2005,,2006-06-01,2005-07-01,55 years and over,2006-07-01,Participation Rate,Everyone,30.6,30.6
August 2005,,2006-07-01,2005-08-01,55 years and over,2006-08-01,Participation Rate,Everyone,30.2,30.2
September 2005,,2006-08-01,2005-09-01,55 years and over,2006-09-01,Participation Rate,Everyone,29.5,29.5
October 2005,,2006-09-01,2005-10-01,55 years and over,2006-10-01,Participation Rate,Everyone,29.9,29.9
November 2005,,2006-10-01,2005-11-01,55 years and over,2006-11-01,Participation Rate,Everyone,30.7,30.7
December 2005,,2006-11-01,2005-12-01,55 years and over,2006-12-01,Participation Rate,Everyone,31.7,31.7
January 2006,,2006-12-01,2006-01-01,55 years and over,2007-01-01,Participation Rate,Everyone,31.8,31.8
February 2006,,2007-01-01,2006-02-01,55 years and over,2007-02-01,Participation Rate,Everyone,32,32
March 2006,,2007-02-01,2006-03-01,55 years and over,2007-03-01,Participation Rate,Everyone,32.5,32.5
April 2006,,2007-03-01,2006-04-01,55 years and over,2007-04-01,Participation Rate,Everyone,33.7,33.7
March 2005,,2006-02-01,2005-03-01,55 years and over,2006-03-01,Unemployment Rate,Everyone,4.8,4.8
April 2005,,2006-03-01,2005-04-01,55 years and over,2006-04-01,Unemployment Rate,Everyone,4.4,4.4
May 2005,,2006-04-01,2005-05-01,55 years and over,2006-05-01,Unemployment Rate,Everyone,3.8,3.8
June 2005,,2006-05-01,2005-06-01,55 years and over,2006-06-01,Unemployment Rate,Everyone,3.2,3.2
July 2005,,2006-06-01,2005-07-01,55 years and over,2006-07-01,Unemployment Rate,Everyone,4.1,4.1
August 2005,,2006-07-01,2005-08-01,55 years and over,2006-08-01,Unemployment Rate,Everyone,4.9,4.9
September 2005,,2006-08-01,2005-09-01,55 years and over,2006-09-01,Unemployment Rate,Everyone,5.3,5.3
October 2005,,2006-09-01,2005-10-01,55 years and over,2006-10-01,Unemployment Rate,Everyone,5.1,5.1
November 2005,,2006-10-01,2005-11-01,55 years and over,2006-11-01,Unemployment Rate,Everyone,4.6,4.6
December 2005,,2006-11-01,2005-12-01,55 years and over,2006-12-01,Unemployment Rate,Everyone,4.8,4.8
January 2006,,2006-12-01,2006-01-01,55 years and over,2007-01-01,Unemployment Rate,Everyone,5.1,5.1
February 2006,,2007-01-01,2006-02-01,55 years and over,2007-02-01,Unemployment Rate,Everyone,5,5
March 2006,,2007-02-01,2006-03-01,55 years and over,2007-03-01,Unemployment Rate,Everyone,4.5,4.5
April 2006,,2007-03-01,2006-04-01,55 years and over,2007-04-01,Unemployment Rate,Everyone,4.6,4.6
March 2005,F,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Participation Rate,Females,64.8,64.8
April 2005,F,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Participation Rate,Females,64.1,64.1
May 2005,F,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Participation Rate,Females,67.3,67.3
June 2005,F,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Participation Rate,Females,72.2,72.2
July 2005,F,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Participation Rate,Females,78.3,78.3
August 2005,F,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Participation Rate,Females,79.6,79.6
September 2005,F,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Participation Rate,Females,75.1,75.1
October 2005,F,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Participation Rate,Females,70.4,70.4
November 2005,F,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Participation Rate,Females,66.8,66.8
December 2005,F,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Participation Rate,Females,70.9,70.9
January 2006,F,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Participation Rate,Females,70.6,70.6
February 2006,F,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Participation Rate,Females,72.1,72.1
March 2006,F,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Participation Rate,Females,70.8,70.8
