_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
January2004,2003-12-01,2003-01-01,1/1/2004,Building material and garden equipment and supplies dealers,38776000,38776000
February2004,2004-01-01,2003-02-01,2/1/2004,Building material and garden equipment and supplies dealers,34808000,34808000
March2004,2004-02-01,2003-03-01,3/1/2004,Building material and garden equipment and supplies dealers,49431000,49431000
April2004,2004-03-01,2003-04-01,4/1/2004,Building material and garden equipment and supplies dealers,54998000,54998000
May2004,2004-04-01,2003-05-01,5/1/2004,Building material and garden equipment and supplies dealers,72020000,72020000
June2004,2004-05-01,2003-06-01,6/1/2004,Building material and garden equipment and supplies dealers,83621000,83621000
July2004,2004-06-01,2003-07-01,7/1/2004,Building material and garden equipment and supplies dealers,76503000,76503000
August2004,2004-07-01,2003-08-01,8/1/2004,Building material and garden equipment and supplies dealers,68231000,68231000
September2004,2004-08-01,2003-09-01,9/1/2004,Building material and garden equipment and supplies dealers,72989000,72989000
October2004,2004-09-01,2003-10-01,10/1/2004,Building material and garden equipment and supplies dealers,71590000,71590000
December2004,2004-11-01,2003-12-01,12/1/2004,Building material and garden equipment and supplies dealers,56144000,56144000
February2005,2005-01-01,2004-02-01,2/1/2005,Building material and garden equipment and supplies dealers,38404000,38404000
March2005,2005-02-01,2004-03-01,3/1/2005,Building material and garden equipment and supplies dealers,47219000,47219000
April2005,2005-03-01,2004-04-01,4/1/2005,Building material and garden equipment and supplies dealers,59804000,59804000
May2005,2005-04-01,2004-05-01,5/1/2005,Building material and garden equipment and supplies dealers,74134000,74134000
June2005,2005-05-01,2004-06-01,6/1/2005,Building material and garden equipment and supplies dealers,81848000,81848000
July2005,2005-06-01,2004-07-01,7/1/2005,Building material and garden equipment and supplies dealers,74862000,74862000
October2005,2005-09-01,2004-10-01,10/1/2005,Building material and garden equipment and supplies dealers,68537000,68537000
March2006,2006-02-01,2005-03-01,3/1/2006,Building material and garden equipment and supplies dealers,56156000,56156000
April2006,2006-03-01,2005-04-01,4/1/2006,Building material and garden equipment and supplies dealers,62957000,62957000
May2006,2006-04-01,2005-05-01,5/1/2006,Building material and garden equipment and supplies dealers,84653000,84653000
June2006,2006-05-01,2005-06-01,6/1/2006,Building material and garden equipment and supplies dealers,82303000,82303000
July2006,2006-06-01,2005-07-01,7/1/2006,Building material and garden equipment and supplies dealers,76444000,76444000
August2006,2006-07-01,2005-08-01,8/1/2006,Building material and garden equipment and supplies dealers,76467000,76467000
September2006,2006-08-01,2005-09-01,9/1/2006,Building material and garden equipment and supplies dealers,72632000,72632000
October2006,2006-09-01,2005-10-01,10/1/2006,Building material and garden equipment and supplies dealers,71920000,71920000
December2006,2006-11-01,2005-12-01,12/1/2006,Building material and garden equipment and supplies dealers,52293000,52293000
February2007,2007-01-01,2006-02-01,2/1/2007,Building material and garden equipment and supplies dealers,43582000,43582000
March2007,2007-02-01,2006-03-01,3/1/2007,Building material and garden equipment and supplies dealers,51612000,51612000
April2007,2007-03-01,2006-04-01,4/1/2007,Building material and garden equipment and supplies dealers,58822000,58822000
May2007,2007-04-01,2006-05-01,5/1/2007,Building material and garden equipment and supplies dealers,80124000,80124000
June2007,2007-05-01,2006-06-01,6/1/2007,Building material and garden equipment and supplies dealers,82914000,82914000
July2007,2007-06-01,2006-07-01,7/1/2007,Building material and garden equipment and supplies dealers,76909000,76909000
October2007,2007-09-01,2006-10-01,10/1/2007,Building material and garden equipment and supplies dealers,80765000,80765000
January2008,2007-12-01,2007-01-01,1/1/2008,Building material and garden equipment and supplies dealers,46370000,46370000
February2008,2008-01-01,2007-02-01,2/1/2008,Building material and garden equipment and supplies dealers,45935000,45935000
March2008,2008-02-01,2007-03-01,3/1/2008,Building material and garden equipment and supplies dealers,49792000,49792000
April2008,2008-03-01,2007-04-01,4/1/2008,Building material and garden equipment and supplies dealers,63199000,63199000
May2008,2008-04-01,2007-05-01,5/1/2008,Building material and garden equipment and supplies dealers,81211000,81211000
June2008,2008-05-01,2007-06-01,6/1/2008,Building material and garden equipment and supplies dealers,84536000,84536000
July2008,2008-06-01,2007-07-01,7/1/2008,Building material and garden equipment and supplies dealers,84081000,84081000
November2008,2008-10-01,2007-11-01,11/1/2008,Building material and garden equipment and supplies dealers,68184000,68184000
December2008,2008-11-01,2007-12-01,12/1/2008,Building material and garden equipment and supplies dealers,59486000,59486000
January2009,2008-12-01,2008-01-01,1/1/2009,Building material and garden equipment and supplies dealers,46219000,46219000
February2009,2009-01-01,2008-02-01,2/1/2009,Building material and garden equipment and supplies dealers,44891000,44891000
March2009,2009-02-01,2008-03-01,3/1/2009,Building material and garden equipment and supplies dealers,51622000,51622000
April2009,2009-03-01,2008-04-01,4/1/2009,Building material and garden equipment and supplies dealers,62763000,62763000
May2009,2009-04-01,2008-05-01,5/1/2009,Building material and garden equipment and supplies dealers,82276000,82276000
June2009,2009-05-01,2008-06-01,6/1/2009,Building material and garden equipment and supplies dealers,86342000,86342000
July2009,2009-06-01,2008-07-01,7/1/2009,Building material and garden equipment and supplies dealers,85328000,85328000
August2009,2009-07-01,2008-08-01,8/1/2009,Building material and garden equipment and supplies dealers,76613000,76613000
September2009,2009-08-01,2008-09-01,9/1/2009,Building material and garden equipment and supplies dealers,80476000,80476000
November2009,2009-10-01,2008-11-01,11/1/2009,Building material and garden equipment and supplies dealers,71777000,71777000
December2009,2009-11-01,2008-12-01,12/1/2009,Building material and garden equipment and supplies dealers,61339000,61339000
October2010,2010-09-01,2009-10-01,10/1/2010,Building material and garden equipment and supplies dealers,75445000,75445000
January2011,2010-12-01,2010-01-01,1/1/2011,Building material and garden equipment and supplies dealers,50432000,50432000
February2011,2011-01-01,2010-02-01,2/1/2011,Building material and garden equipment and supplies dealers,46901000,46901000
March2012,2012-02-01,2011-03-01,3/1/2012,Building material and garden equipment and supplies dealers,57733000,57733000
April2012,2012-03-01,2011-04-01,4/1/2012,Building material and garden equipment and supplies dealers,68220000,68220000
May2012,2012-04-01,2011-05-01,5/1/2012,Building material and garden equipment and supplies dealers,96815000,96815000
August2012,2012-07-01,2011-08-01,8/1/2012,Building material and garden equipment and supplies dealers,90427000,90427000
September2012,2012-08-01,2011-09-01,9/1/2012,Building material and garden equipment and supplies dealers,80620000,80620000
October2012,2012-09-01,2011-10-01,10/1/2012,Building material and garden equipment and supplies dealers,81345000,81345000
November2012,2012-10-01,2011-11-01,11/1/2012,Building material and garden equipment and supplies dealers,77636000,77636000
December2012,2012-11-01,2011-12-01,12/1/2012,Building material and garden equipment and supplies dealers,61615000,61615000
January2013,2012-12-01,2012-01-01,1/1/2013,Building material and garden equipment and supplies dealers,53563000,53563000
February2013,2013-01-01,2012-02-01,2/1/2013,Building material and garden equipment and supplies dealers,49799000,49799000
March2013,2013-02-01,2012-03-01,3/1/2013,Building material and garden equipment and supplies dealers,58622000,58622000
May2013,2013-04-01,2012-05-01,5/1/2013,Building material and garden equipment and supplies dealers,97407000,97407000
November2013,2013-10-01,2012-11-01,11/1/2013,Building material and garden equipment and supplies dealers,76535000,76535000
December2013,2013-11-01,2012-12-01,12/1/2013,Building material and garden equipment and supplies dealers,56513000,56513000
January2014,2013-12-01,2013-01-01,1/1/2014,Building material and garden equipment and supplies dealers,49313000,49313000
February2014,2014-01-01,2013-02-01,2/1/2014,Building material and garden equipment and supplies dealers,49129000,49129000
October2014,2014-09-01,2013-10-01,10/1/2014,Building material and garden equipment and supplies dealers,80058000,80058000
December2014,2014-11-01,2013-12-01,12/1/2014,Building material and garden equipment and supplies dealers,61129000,61129000
January2015,2014-12-01,2014-01-01,1/1/2015,Building material and garden equipment and supplies dealers,48637000,48637000
February2015,2015-01-01,2014-02-01,2/1/2015,Building material and garden equipment and supplies dealers,40160000,40160000
March2015,2015-02-01,2014-03-01,3/1/2015,Building material and garden equipment and supplies dealers,45591000,45591000
April2015,2015-03-01,2014-04-01,4/1/2015,Building material and garden equipment and supplies dealers,58806000,58806000
May2015,2015-04-01,2014-05-01,5/1/2015,Building material and garden equipment and supplies dealers,90421000,90421000
June2015,2015-05-01,2014-06-01,6/1/2015,Building material and garden equipment and supplies dealers,94528000,94528000
July2015,2015-06-01,2014-07-01,7/1/2015,Building material and garden equipment and supplies dealers,90210000,90210000
August2015,2015-07-01,2014-08-01,8/1/2015,Building material and garden equipment and supplies dealers,84150000,84150000
September2015,2015-08-01,2014-09-01,9/1/2015,Building material and garden equipment and supplies dealers,85571000,85571000
October2015,2015-09-01,2014-10-01,10/1/2015,Building material and garden equipment and supplies dealers,88072000,88072000
November2015,2015-10-01,2014-11-01,11/1/2015,Building material and garden equipment and supplies dealers,80435000,80435000
December2015,2015-11-01,2014-12-01,12/1/2015,Building material and garden equipment and supplies dealers,71355000,71355000
January2016,2015-12-01,2015-01-01,1/1/2016,Building material and garden equipment and supplies dealers,59136000,59136000
February2016,2016-01-01,2015-02-01,2/1/2016,Building material and garden equipment and supplies dealers,53771000,53771000
March2016,2016-02-01,2015-03-01,3/1/2016,Building material and garden equipment and supplies dealers,62987000,62987000
April2016,2016-03-01,2015-04-01,4/1/2016,Building material and garden equipment and supplies dealers,74589000,74589000
May2016,2016-04-01,2015-05-01,5/1/2016,Building material and garden equipment and supplies dealers,96228000,96228000
June2016,2016-05-01,2015-06-01,6/1/2016,Building material and garden equipment and supplies dealers,100226000,100226000
July2016,2016-06-01,2015-07-01,7/1/2016,Building material and garden equipment and supplies dealers,95995000,95995000
August2016,2016-07-01,2015-08-01,8/1/2016,Building material and garden equipment and supplies dealers,92089000,92089000
September2016,2016-08-01,2015-09-01,9/1/2016,Building material and garden equipment and supplies dealers,90178000,90178000
October2016,2016-09-01,2015-10-01,10/1/2016,Building material and garden equipment and supplies dealers,89287000,89287000
November2016,2016-10-01,2015-11-01,11/1/2016,Building material and garden equipment and supplies dealers,91553000,91553000
January2019,2018-12-01,2018-01-01,1/1/2019,Building material and garden equipment and supplies dealers,71375000,71375000
July2019,2019-06-01,2018-07-01,7/1/2019,Building material and garden equipment and supplies dealers,133965000,133965000
October2019,2019-09-01,2018-10-01,10/1/2019,Building material and garden equipment and supplies dealers,114542000,114542000
December2019,2019-11-01,2018-12-01,12/1/2019,Building material and garden equipment and supplies dealers,86580000,86580000
January2020,2019-12-01,2019-01-01,1/1/2020,Building material and garden equipment and supplies dealers,73590000,73590000
February2020,2020-01-01,2019-02-01,2/1/2020,Building material and garden equipment and supplies dealers,65252000,65252000
March2020,2020-02-01,2019-03-01,3/1/2020,Building material and garden equipment and supplies dealers,80105000,80105000
April2020,2020-03-01,2019-04-01,4/1/2020,Building material and garden equipment and supplies dealers,86737000,86737000
May2020,2020-04-01,2019-05-01,5/1/2020,Building material and garden equipment and supplies dealers,129480000,129480000
November2020,2020-10-01,2019-11-01,11/1/2020,Building material and garden equipment and supplies dealers,117933000,117933000
November2008,2008-10-01,2007-11-01,11/1/2008,Clothing and clothing accessories stores,49536000,49536000
December2008,2008-11-01,2007-12-01,12/1/2008,Clothing and clothing accessories stores,78957000,78957000
February2020,2020-01-01,2019-02-01,2/1/2020,Clothing and clothing accessories stores,35001000,35001000
March2020,2020-02-01,2019-03-01,3/1/2020,Clothing and clothing accessories stores,20171000,20171000
May2020,2020-04-01,2019-05-01,5/1/2020,Clothing and clothing accessories stores,9017000,9017000
May2021,2021-04-01,2020-05-01,5/1/2021,Clothing and clothing accessories stores,7607000,7607000
March2004,2004-02-01,2003-03-01,3/1/2004,Electronics and appliance stores,15920000,15920000
April2004,2004-03-01,2003-04-01,4/1/2004,Electronics and appliance stores,14735000,14735000
May2004,2004-04-01,2003-05-01,5/1/2004,Electronics and appliance stores,15393000,15393000
July2004,2004-06-01,2003-07-01,7/1/2004,Electronics and appliance stores,16630000,16630000
May2005,2005-04-01,2004-05-01,5/1/2005,Electronics and appliance stores,18076000,18076000
July2005,2005-06-01,2004-07-01,7/1/2005,Electronics and appliance stores,17854000,17854000
September2005,2005-08-01,2004-09-01,9/1/2005,Electronics and appliance stores,20387000,20387000
October2005,2005-09-01,2004-10-01,10/1/2005,Electronics and appliance stores,19149000,19149000
November2005,2005-10-01,2004-11-01,11/1/2005,Electronics and appliance stores,23050000,23050000
