_previousMonth,_previousYear,Business dynamics measure,Date,Industry,_activeBusinesses,_businessCounts,_valueConnector,Value
2014-12-01,2014-01-01,Active businesses,2015-01-01,Business sector industries [T004],9186,,9186,9186
2015-01-01,2014-02-01,Active businesses,2015-02-01,Business sector industries [T004],9211,,9211,9211
2015-02-01,2014-03-01,Active businesses,2015-03-01,Business sector industries [T004],9212,,9212,9212
2015-03-01,2014-04-01,Active businesses,2015-04-01,Business sector industries [T004],9220,,9220,9220
2015-04-01,2014-05-01,Active businesses,2015-05-01,Business sector industries [T004],9216,,9216,9216
2015-05-01,2014-06-01,Active businesses,2015-06-01,Business sector industries [T004],9207,,9207,9207
2015-06-01,2014-07-01,Active businesses,2015-07-01,Business sector industries [T004],9257,,9257,9257
2015-07-01,2014-08-01,Active businesses,2015-08-01,Business sector industries [T004],9277,,9277,9277
2015-08-01,2014-09-01,Active businesses,2015-09-01,Business sector industries [T004],9261,,9261,9261
2015-09-01,2014-10-01,Active businesses,2015-10-01,Business sector industries [T004],9281,,9281,9281
2015-10-01,2014-11-01,Active businesses,2015-11-01,Business sector industries [T004],9307,,9307,9307
2014-12-01,2014-01-01,Closing businesses,2015-01-01,Business sector industries [T004],,-371,,371
2015-01-01,2014-02-01,Closing businesses,2015-02-01,Business sector industries [T004],,-355,,355
2015-02-01,2014-03-01,Closing businesses,2015-03-01,Business sector industries [T004],,-336,,336
2015-03-01,2014-04-01,Closing businesses,2015-04-01,Business sector industries [T004],,-357,,357
2015-04-01,2014-05-01,Closing businesses,2015-05-01,Business sector industries [T004],,-350,,350
2015-05-01,2014-06-01,Closing businesses,2015-06-01,Business sector industries [T004],,-346,,346
2015-06-01,2014-07-01,Closing businesses,2015-07-01,Business sector industries [T004],,-334,,334
2015-07-01,2014-08-01,Closing businesses,2015-08-01,Business sector industries [T004],,-340,,340
2015-08-01,2014-09-01,Closing businesses,2015-09-01,Business sector industries [T004],,-351,,351
2015-09-01,2014-10-01,Closing businesses,2015-10-01,Business sector industries [T004],,-343,,343
2015-10-01,2014-11-01,Closing businesses,2015-11-01,Business sector industries [T004],,-332,,332
2014-12-01,2014-01-01,Continuing businesses,2015-01-01,Business sector industries [T004],,,,8835
2015-01-01,2014-02-01,Continuing businesses,2015-02-01,Business sector industries [T004],,,,8853
2015-02-01,2014-03-01,Continuing businesses,2015-03-01,Business sector industries [T004],,,,8870
2015-03-01,2014-04-01,Continuing businesses,2015-04-01,Business sector industries [T004],,,,8865
2015-04-01,2014-05-01,Continuing businesses,2015-05-01,Business sector industries [T004],,,,8857
2015-05-01,2014-06-01,Continuing businesses,2015-06-01,Business sector industries [T004],,,,8877
2015-06-01,2014-07-01,Continuing businesses,2015-07-01,Business sector industries [T004],,,,8887
2015-07-01,2014-08-01,Continuing businesses,2015-08-01,Business sector industries [T004],,,,8918
2015-08-01,2014-09-01,Continuing businesses,2015-09-01,Business sector industries [T004],,,,8929
2015-09-01,2014-10-01,Continuing businesses,2015-10-01,Business sector industries [T004],,,,8922
2015-10-01,2014-11-01,Continuing businesses,2015-11-01,Business sector industries [T004],,,,8945
2014-12-01,2014-01-01,Opening businesses,2015-01-01,Business sector industries [T004],,346,,346
2015-01-01,2014-02-01,Opening businesses,2015-02-01,Business sector industries [T004],,345,,345
2015-02-01,2014-03-01,Opening businesses,2015-03-01,Business sector industries [T004],,337,,337
2015-03-01,2014-04-01,Opening businesses,2015-04-01,Business sector industries [T004],,356,,356
2015-04-01,2014-05-01,Opening businesses,2015-05-01,Business sector industries [T004],,364,,364
2015-05-01,2014-06-01,Opening businesses,2015-06-01,Business sector industries [T004],,347,,347
2015-06-01,2014-07-01,Opening businesses,2015-07-01,Business sector industries [T004],,378,,378
2015-07-01,2014-08-01,Opening businesses,2015-08-01,Business sector industries [T004],,378,,378
2015-08-01,2014-09-01,Opening businesses,2015-09-01,Business sector industries [T004],,315,,315
2015-09-01,2014-10-01,Opening businesses,2015-10-01,Business sector industries [T004],,354,,354
2015-10-01,2014-11-01,Opening businesses,2015-11-01,Business sector industries [T004],,351,,351
2014-12-01,2014-01-01,Entrants,2015-01-01,Business sector industries [T004],,,,
2015-01-01,2014-02-01,Entrants,2015-02-01,Business sector industries [T004],,,,
2015-02-01,2014-03-01,Entrants,2015-03-01,Business sector industries [T004],,,,
2015-03-01,2014-04-01,Entrants,2015-04-01,Business sector industries [T004],,,,
2015-04-01,2014-05-01,Entrants,2015-05-01,Business sector industries [T004],,,,
2015-05-01,2014-06-01,Entrants,2015-06-01,Business sector industries [T004],,,,
2015-06-01,2014-07-01,Entrants,2015-07-01,Business sector industries [T004],,,,
2015-07-01,2014-08-01,Entrants,2015-08-01,Business sector industries [T004],,,,
2015-08-01,2014-09-01,Entrants,2015-09-01,Business sector industries [T004],,,,
2015-09-01,2014-10-01,Entrants,2015-10-01,Business sector industries [T004],,,,
2015-10-01,2014-11-01,Entrants,2015-11-01,Business sector industries [T004],,,,
2014-12-01,2014-01-01,Exits,2015-01-01,Business sector industries [T004],,,,
2015-01-01,2014-02-01,Exits,2015-02-01,Business sector industries [T004],,,,
2015-02-01,2014-03-01,Exits,2015-03-01,Business sector industries [T004],,,,
2015-03-01,2014-04-01,Exits,2015-04-01,Business sector industries [T004],,,,
2015-04-01,2014-05-01,Exits,2015-05-01,Business sector industries [T004],,,,
2015-05-01,2014-06-01,Exits,2015-06-01,Business sector industries [T004],,,,
2015-06-01,2014-07-01,Exits,2015-07-01,Business sector industries [T004],,,,
2015-07-01,2014-08-01,Exits,2015-08-01,Business sector industries [T004],,,,
2015-08-01,2014-09-01,Exits,2015-09-01,Business sector industries [T004],,,,
2015-09-01,2014-10-01,Exits,2015-10-01,Business sector industries [T004],,,,
2015-10-01,2014-11-01,Exits,2015-11-01,Business sector industries [T004],,,,
2014-12-01,2014-01-01,Reopening businesses,2015-01-01,Business sector industries [T004],,,,
2015-01-01,2014-02-01,Reopening businesses,2015-02-01,Business sector industries [T004],,,,
2015-02-01,2014-03-01,Reopening businesses,2015-03-01,Business sector industries [T004],,,,
2015-03-01,2014-04-01,Reopening businesses,2015-04-01,Business sector industries [T004],,,,
2015-04-01,2014-05-01,Reopening businesses,2015-05-01,Business sector industries [T004],,,,
2015-05-01,2014-06-01,Reopening businesses,2015-06-01,Business sector industries [T004],,,,
2015-06-01,2014-07-01,Reopening businesses,2015-07-01,Business sector industries [T004],,,,
2015-07-01,2014-08-01,Reopening businesses,2015-08-01,Business sector industries [T004],,,,
2015-08-01,2014-09-01,Reopening businesses,2015-09-01,Business sector industries [T004],,,,
2015-09-01,2014-10-01,Reopening businesses,2015-10-01,Business sector industries [T004],,,,
2015-10-01,2014-11-01,Reopening businesses,2015-11-01,Business sector industries [T004],,,,
2014-12-01,2014-01-01,Temporary closures,2015-01-01,Business sector industries [T004],,,,
2015-01-01,2014-02-01,Temporary closures,2015-02-01,Business sector industries [T004],,,,
2015-02-01,2014-03-01,Temporary closures,2015-03-01,Business sector industries [T004],,,,
2015-03-01,2014-04-01,Temporary closures,2015-04-01,Business sector industries [T004],,,,
2015-04-01,2014-05-01,Temporary closures,2015-05-01,Business sector industries [T004],,,,
2015-05-01,2014-06-01,Temporary closures,2015-06-01,Business sector industries [T004],,,,
2015-06-01,2014-07-01,Temporary closures,2015-07-01,Business sector industries [T004],,,,
2015-07-01,2014-08-01,Temporary closures,2015-08-01,Business sector industries [T004],,,,
2015-08-01,2014-09-01,Temporary closures,2015-09-01,Business sector industries [T004],,,,
2015-09-01,2014-10-01,Temporary closures,2015-10-01,Business sector industries [T004],,,,
2015-10-01,2014-11-01,Temporary closures,2015-11-01,Business sector industries [T004],,,,
2021-08-01,2020-09-01,Exits,2021-09-01,Business sector industries [T004],,,,
2021-09-01,2020-10-01,Exits,2021-10-01,Business sector industries [T004],,,,
2021-10-01,2020-11-01,Exits,2021-11-01,Business sector industries [T004],,,,
2021-11-01,2020-12-01,Exits,2021-12-01,Business sector industries [T004],,,,
2021-07-01,2020-08-01,Temporary closures,2021-08-01,Business sector industries [T004],,,,
2021-08-01,2020-09-01,Temporary closures,2021-09-01,Business sector industries [T004],,,,
2021-09-01,2020-10-01,Temporary closures,2021-10-01,Business sector industries [T004],,,,
2021-10-01,2020-11-01,Temporary closures,2021-11-01,Business sector industries [T004],,,,
2021-11-01,2020-12-01,Temporary closures,2021-12-01,Business sector industries [T004],,,,
2021-02-01,2020-03-01,Active businesses,2021-03-01,Business sector industries [T004],9937,,9937,9937
2021-03-01,2020-04-01,Active businesses,2021-04-01,Business sector industries [T004],9930,,9930,9930
2021-04-01,2020-05-01,Active businesses,2021-05-01,Business sector industries [T004],9878,,9878,9878
2021-05-01,2020-06-01,Active businesses,2021-06-01,Business sector industries [T004],9931,,9931,9931
2021-06-01,2020-07-01,Active businesses,2021-07-01,Business sector industries [T004],9982,,9982,9982
2021-07-01,2020-08-01,Active businesses,2021-08-01,Business sector industries [T004],10008,,10008,10008
2021-08-01,2020-09-01,Active businesses,2021-09-01,Business sector industries [T004],9955,,9955,9955
2021-09-01,2020-10-01,Active businesses,2021-10-01,Business sector industries [T004],10010,,10010,10010
2021-10-01,2020-11-01,Active businesses,2021-11-01,Business sector industries [T004],10052,,10052,10052
2021-11-01,2020-12-01,Active businesses,2021-12-01,Business sector industries [T004],10071,,10071,10071
2021-02-01,2020-03-01,Closing businesses,2021-03-01,Business sector industries [T004],,-350,,350
2021-03-01,2020-04-01,Closing businesses,2021-04-01,Business sector industries [T004],,-383,,383
2021-04-01,2020-05-01,Closing businesses,2021-05-01,Business sector industries [T004],,-403,,403
2021-05-01,2020-06-01,Closing businesses,2021-06-01,Business sector industries [T004],,-361,,361
2021-06-01,2020-07-01,Closing businesses,2021-07-01,Business sector industries [T004],,-326,,326
2021-07-01,2020-08-01,Closing businesses,2021-08-01,Business sector industries [T004],,-373,,373
2021-08-01,2020-09-01,Closing businesses,2021-09-01,Business sector industries [T004],,-382,,382
2021-09-01,2020-10-01,Closing businesses,2021-10-01,Business sector industries [T004],,-375,,375
2021-10-01,2020-11-01,Closing businesses,2021-11-01,Business sector industries [T004],,-346,,346
2021-11-01,2020-12-01,Closing businesses,2021-12-01,Business sector industries [T004],,-384,,384
2021-02-01,2020-03-01,Continuing businesses,2021-03-01,Business sector industries [T004],,,,9464
2021-03-01,2020-04-01,Continuing businesses,2021-04-01,Business sector industries [T004],,,,9525
2021-04-01,2020-05-01,Continuing businesses,2021-05-01,Business sector industries [T004],,,,9532
2021-05-01,2020-06-01,Continuing businesses,2021-06-01,Business sector industries [T004],,,,9541
2021-06-01,2020-07-01,Continuing businesses,2021-07-01,Business sector industries [T004],,,,9587
2021-07-01,2020-08-01,Continuing businesses,2021-08-01,Business sector industries [T004],,,,9612
2021-08-01,2020-09-01,Continuing businesses,2021-09-01,Business sector industries [T004],,,,9614
2021-09-01,2020-10-01,Continuing businesses,2021-10-01,Business sector industries [T004],,,,9618
2021-10-01,2020-11-01,Continuing businesses,2021-11-01,Business sector industries [T004],,,,9664
2021-11-01,2020-12-01,Continuing businesses,2021-12-01,Business sector industries [T004],,,,9688
2021-02-01,2020-03-01,Opening businesses,2021-03-01,Business sector industries [T004],,431,,431
2021-03-01,2020-04-01,Opening businesses,2021-04-01,Business sector industries [T004],,390,,390
2021-04-01,2020-05-01,Opening businesses,2021-05-01,Business sector industries [T004],,378,,378
2021-05-01,2020-06-01,Opening businesses,2021-06-01,Business sector industries [T004],,377,,377
2021-06-01,2020-07-01,Opening businesses,2021-07-01,Business sector industries [T004],,382,,382
2021-07-01,2020-08-01,Opening businesses,2021-08-01,Business sector industries [T004],,382,,382
2021-08-01,2020-09-01,Opening businesses,2021-09-01,Business sector industries [T004],,382,,382
2021-09-01,2020-10-01,Opening businesses,2021-10-01,Business sector industries [T004],,405,,405
2021-10-01,2020-11-01,Opening businesses,2021-11-01,Business sector industries [T004],,385,,385
2021-11-01,2020-12-01,Opening businesses,2021-12-01,Business sector industries [T004],,390,,390
2020-05-01,2019-06-01,Opening businesses,2020-06-01,Business sector industries [T004],,640,,640
2020-03-01,2019-04-01,Active businesses,2020-04-01,Business sector industries [T004],9001,,9001,9001
2020-04-01,2019-05-01,Active businesses,2020-05-01,Business sector industries [T004],8616,,8616,8616
2020-06-01,2019-07-01,Active businesses,2020-07-01,Business sector industries [T004],9213,,9213,9213
2020-07-01,2019-08-01,Active businesses,2020-08-01,Business sector industries [T004],9337,,9337,9337
2020-08-01,2019-09-01,Active businesses,2020-09-01,Business sector industries [T004],9467,,9467,9467
2020-09-01,2019-10-01,Active businesses,2020-10-01,Business sector industries [T004],9564,,9564,9564
2020-10-01,2019-11-01,Active businesses,2020-11-01,Business sector industries [T004],9611,,9611,9611
2020-11-01,2019-12-01,Active businesses,2020-12-01,Business sector industries [T004],9708,,9708,9708
2020-12-01,2020-01-01,Active businesses,2021-01-01,Business sector industries [T004],9795,,9795,9795
2021-01-01,2020-02-01,Active businesses,2021-02-01,Business sector industries [T004],9851,,9851,9851
2020-03-01,2019-04-01,Closing businesses,2020-04-01,Business sector industries [T004],,-947,,947
2020-04-01,2019-05-01,Closing businesses,2020-05-01,Business sector industries [T004],,-838,,838
2020-05-01,2019-06-01,Closing businesses,2020-06-01,Business sector industries [T004],,-406,,406
2020-06-01,2019-07-01,Closing businesses,2020-07-01,Business sector industries [T004],,-328,,328
2020-07-01,2019-08-01,Closing businesses,2020-08-01,Business sector industries [T004],,-308,,308
2020-08-01,2019-09-01,Closing businesses,2020-09-01,Business sector industries [T004],,-309,,309
2020-09-01,2019-10-01,Closing businesses,2020-10-01,Business sector industries [T004],,-306,,306
2020-10-01,2019-11-01,Closing businesses,2020-11-01,Business sector industries [T004],,-356,,356
2020-11-01,2019-12-01,Closing businesses,2020-12-01,Business sector industries [T004],,-319,,319
2020-12-01,2020-01-01,Closing businesses,2021-01-01,Business sector industries [T004],,-343,,343
2021-01-01,2020-02-01,Closing businesses,2021-02-01,Business sector industries [T004],,-366,,366
2020-04-01,2019-05-01,Continuing businesses,2020-05-01,Business sector industries [T004],,,,8279
2020-06-01,2019-07-01,Continuing businesses,2020-07-01,Business sector industries [T004],,,,8641
2020-07-01,2019-08-01,Continuing businesses,2020-08-01,Business sector industries [T004],,,,8836
2020-08-01,2019-09-01,Continuing businesses,2020-09-01,Business sector industries [T004],,,,9002
