_previousYear,Date,Vacancy Rate
1970-01-01,1971-01-01,3.7
1971-01-01,1972-01-01,1.7
1972-01-01,1973-01-01,2.3
1973-01-01,1974-01-01,2.3
1974-01-01,1975-01-01,1.8
1975-01-01,1976-01-01,1.4
1976-01-01,1977-01-01,1.5
1977-01-01,1978-01-01,2.2
1978-01-01,1979-01-01,2.4
1979-01-01,1980-01-01,1.2
1980-01-01,1981-01-01,0.5
1981-01-01,1982-01-01,0.6
1982-01-01,1983-01-01,0.9
1983-01-01,1984-01-01,0.4
1984-01-01,1985-01-01,0.6
1985-01-01,1986-01-01,2.3
1986-01-01,1987-01-01,4.4
1987-01-01,1988-01-01,4.3
1988-01-01,1989-01-01,3.3
1989-01-01,1990-01-01,3.6
1990-01-01,1991-01-01,5
1991-01-01,1992-01-01,5.9
1992-01-01,1993-01-01,6.5
1993-01-01,1994-01-01,7.3
1994-01-01,1995-01-01,7.8
1995-01-01,1996-01-01,8.6
1996-01-01,1997-01-01,8.2
1997-01-01,1998-01-01,5.5
1998-01-01,1999-01-01,3.6
1999-01-01,2000-01-01,3.5
2000-01-01,2001-01-01,2.9
2001-01-01,2002-01-01,2.7
2002-01-01,2003-01-01,2.3
2003-01-01,2004-01-01,2.9
2004-01-01,2005-01-01,3.3
2005-01-01,2006-01-01,3
2006-01-01,2007-01-01,3
2007-01-01,2008-01-01,3.4
2008-01-01,2009-01-01,2.8
2009-01-01,2010-01-01,2.6
2010-01-01,2011-01-01,2.4
2011-01-01,2012-01-01,3
2012-01-01,2013-01-01,3.2
2013-01-01,2014-01-01,3.7
2014-01-01,2015-01-01,3.3
2015-01-01,2016-01-01,2.6
2016-01-01,2017-01-01,2.2
2017-01-01,2018-01-01,1.5
2018-01-01,2019-01-01,1
2019-01-01,2020-01-01,1.7
2020-01-01,2021-01-01,1
