_previousYear,Date,Type of unit,_valueConnector,Monthly Rent
1986-01-01,1987-01-01,Bachelor units,,
1986-01-01,1987-01-01,One bedroom units,,
1986-01-01,1987-01-01,Two bedroom units,,
1986-01-01,1987-01-01,Three bedroom units,,
1988-01-01,1989-01-01,Bachelor units,,
1989-01-01,1990-01-01,Bachelor units,,
1990-01-01,1991-01-01,Bachelor units,,
1987-01-01,1988-01-01,One bedroom units,,
1988-01-01,1989-01-01,One bedroom units,,
1989-01-01,1990-01-01,One bedroom units,,
1990-01-01,1991-01-01,One bedroom units,,
1987-01-01,1988-01-01,Three bedroom units,,
1988-01-01,1989-01-01,Three bedroom units,,
1989-01-01,1990-01-01,Three bedroom units,,
1991-01-01,1992-01-01,Bachelor units,433,433
1992-01-01,1993-01-01,Bachelor units,432,432
1993-01-01,1994-01-01,Bachelor units,444,444
1994-01-01,1995-01-01,Bachelor units,444,444
1995-01-01,1996-01-01,Bachelor units,439,439
1996-01-01,1997-01-01,Bachelor units,444,444
1997-01-01,1998-01-01,Bachelor units,454,454
1998-01-01,1999-01-01,Bachelor units,469,469
1999-01-01,2000-01-01,Bachelor units,491,491
2000-01-01,2001-01-01,Bachelor units,508,508
2001-01-01,2002-01-01,Bachelor units,524,524
2002-01-01,2003-01-01,Bachelor units,537,537
2003-01-01,2004-01-01,Bachelor units,560,560
2004-01-01,2005-01-01,Bachelor units,553,553
2005-01-01,2006-01-01,Bachelor units,575,575
2006-01-01,2007-01-01,Bachelor units,577,577
2007-01-01,2008-01-01,Bachelor units,599,599
2008-01-01,2009-01-01,Bachelor units,638,638
2009-01-01,2010-01-01,Bachelor units,632,632
2010-01-01,2011-01-01,Bachelor units,670,670
2011-01-01,2012-01-01,Bachelor units,690,690
2012-01-01,2013-01-01,Bachelor units,703,703
2013-01-01,2014-01-01,Bachelor units,716,716
2014-01-01,2015-01-01,Bachelor units,731,731
2015-01-01,2016-01-01,Bachelor units,758,758
2016-01-01,2017-01-01,Bachelor units,780,780
2017-01-01,2018-01-01,Bachelor units,812,812
2018-01-01,2019-01-01,Bachelor units,812,812
2019-01-01,2020-01-01,Bachelor units,865,865
2020-01-01,2021-01-01,Bachelor units,902,902
1991-01-01,1992-01-01,One bedroom units,497,497
1992-01-01,1993-01-01,One bedroom units,503,503
1993-01-01,1994-01-01,One bedroom units,504,504
1994-01-01,1995-01-01,One bedroom units,506,506
1995-01-01,1996-01-01,One bedroom units,505,505
1996-01-01,1997-01-01,One bedroom units,506,506
1997-01-01,1998-01-01,One bedroom units,511,511
1998-01-01,1999-01-01,One bedroom units,523,523
1999-01-01,2000-01-01,One bedroom units,539,539
2000-01-01,2001-01-01,One bedroom units,554,554
2001-01-01,2002-01-01,One bedroom units,572,572
2002-01-01,2003-01-01,One bedroom units,596,596
2003-01-01,2004-01-01,One bedroom units,612,612
2004-01-01,2005-01-01,One bedroom units,626,626
2005-01-01,2006-01-01,One bedroom units,648,648
2006-01-01,2007-01-01,One bedroom units,659,659
2007-01-01,2008-01-01,One bedroom units,683,683
2008-01-01,2009-01-01,One bedroom units,710,710
2009-01-01,2010-01-01,One bedroom units,732,732
2010-01-01,2011-01-01,One bedroom units,752,752
2011-01-01,2012-01-01,One bedroom units,773,773
2012-01-01,2013-01-01,One bedroom units,784,784
2013-01-01,2014-01-01,One bedroom units,800,800
2014-01-01,2015-01-01,One bedroom units,833,833
2015-01-01,2016-01-01,One bedroom units,846,846
2016-01-01,2017-01-01,One bedroom units,881,881
2017-01-01,2018-01-01,One bedroom units,904,904
2018-01-01,2019-01-01,One bedroom units,960,960
2019-01-01,2020-01-01,One bedroom units,1015,1015
2020-01-01,2021-01-01,One bedroom units,1085,1085
1991-01-01,1992-01-01,Three bedroom units,729,729
1992-01-01,1993-01-01,Three bedroom units,756,756
1993-01-01,1994-01-01,Three bedroom units,748,748
1994-01-01,1995-01-01,Three bedroom units,798,798
1995-01-01,1996-01-01,Three bedroom units,761,761
1996-01-01,1997-01-01,Three bedroom units,755,755
1997-01-01,1998-01-01,Three bedroom units,792,792
1990-01-01,1991-01-01,Three bedroom units,,
1987-01-01,1988-01-01,Two bedroom units,,
1988-01-01,1989-01-01,Two bedroom units,,
1989-01-01,1990-01-01,Two bedroom units,,
1990-01-01,1991-01-01,Two bedroom units,,
1987-01-01,1988-01-01,Bachelor units,,
1998-01-01,1999-01-01,Three bedroom units,792,792
1999-01-01,2000-01-01,Three bedroom units,804,804
2000-01-01,2001-01-01,Three bedroom units,867,867
2001-01-01,2002-01-01,Three bedroom units,934,934
2002-01-01,2003-01-01,Three bedroom units,952,952
2003-01-01,2004-01-01,Three bedroom units,1013,1013
2004-01-01,2005-01-01,Three bedroom units,948,948
2005-01-01,2006-01-01,Three bedroom units,1026,1026
2006-01-01,2007-01-01,Three bedroom units,1063,1063
2007-01-01,2008-01-01,Three bedroom units,1062,1062
2008-01-01,2009-01-01,Three bedroom units,1097,1097
2009-01-01,2010-01-01,Three bedroom units,1139,1139
2010-01-01,2011-01-01,Three bedroom units,1179,1179
2011-01-01,2012-01-01,Three bedroom units,1186,1186
2012-01-01,2013-01-01,Three bedroom units,1235,1235
2013-01-01,2014-01-01,Three bedroom units,1270,1270
2014-01-01,2015-01-01,Three bedroom units,1292,1292
2015-01-01,2016-01-01,Three bedroom units,1290,1290
2016-01-01,2017-01-01,Three bedroom units,1320,1320
2017-01-01,2018-01-01,Three bedroom units,1362,1362
2018-01-01,2019-01-01,Three bedroom units,1393,1393
2019-01-01,2020-01-01,Three bedroom units,1458,1458
2020-01-01,2021-01-01,Three bedroom units,1569,1569
1991-01-01,1992-01-01,Two bedroom units,596,596
1992-01-01,1993-01-01,Two bedroom units,605,605
1993-01-01,1994-01-01,Two bedroom units,610,610
1994-01-01,1995-01-01,Two bedroom units,615,615
1995-01-01,1996-01-01,Two bedroom units,617,617
1996-01-01,1997-01-01,Two bedroom units,616,616
1997-01-01,1998-01-01,Two bedroom units,632,632
1998-01-01,1999-01-01,Two bedroom units,637,637
1999-01-01,2000-01-01,Two bedroom units,649,649
2000-01-01,2001-01-01,Two bedroom units,674,674
2001-01-01,2002-01-01,Two bedroom units,705,705
2002-01-01,2003-01-01,Two bedroom units,720,720
2003-01-01,2004-01-01,Two bedroom units,747,747
2004-01-01,2005-01-01,Two bedroom units,763,763
2005-01-01,2006-01-01,Two bedroom units,799,799
2006-01-01,2007-01-01,Two bedroom units,815,815
2007-01-01,2008-01-01,Two bedroom units,833,833
2008-01-01,2009-01-01,Two bedroom units,877,877
2009-01-01,2010-01-01,Two bedroom units,891,891
2010-01-01,2011-01-01,Two bedroom units,925,925
2011-01-01,2012-01-01,Two bedroom units,953,953
2012-01-01,2013-01-01,Two bedroom units,976,976
2013-01-01,2014-01-01,Two bedroom units,1005,1005
2014-01-01,2015-01-01,Two bedroom units,1048,1048
2015-01-01,2016-01-01,Two bedroom units,1063,1063
2016-01-01,2017-01-01,Two bedroom units,1109,1109
2017-01-01,2018-01-01,Two bedroom units,1156,1156
2018-01-01,2019-01-01,Two bedroom units,1202,1202
2019-01-01,2020-01-01,Two bedroom units,1254,1254
2020-01-01,2021-01-01,Two bedroom units,1334,1334
