_previousMonth,_previousYear,Date,Type of dwelling unit,Type of market,_valueConnector,Units
November 1993,December 1992,1993-12-01,Apartment and other types of units,Co-op,0,0
December 1993,January 1993,1994-01-01,Apartment and other types of units,Co-op,0,0
January 1994,February 1993,1994-02-01,Apartment and other types of units,Co-op,0,0
February 1994,March 1993,1994-03-01,Apartment and other types of units,Co-op,0,0
March 1994,April 1993,1994-04-01,Apartment and other types of units,Co-op,0,0
April 1994,May 1993,1994-05-01,Apartment and other types of units,Co-op,0,0
May 1994,June 1993,1994-06-01,Apartment and other types of units,Co-op,0,0
June 1994,July 1993,1994-07-01,Apartment and other types of units,Co-op,0,0
July 1994,August 1993,1994-08-01,Apartment and other types of units,Co-op,0,0
August 1994,September 1993,1994-09-01,Apartment and other types of units,Co-op,0,0
September 1994,October 1993,1994-10-01,Apartment and other types of units,Co-op,0,0
October 1994,November 1993,1994-11-01,Apartment and other types of units,Co-op,0,0
November 1994,December 1993,1994-12-01,Apartment and other types of units,Co-op,0,0
December 1994,January 1994,1995-01-01,Apartment and other types of units,Co-op,0,0
January 1995,February 1994,1995-02-01,Apartment and other types of units,Co-op,0,0
February 1995,March 1994,1995-03-01,Apartment and other types of units,Co-op,0,0
March 1995,April 1994,1995-04-01,Apartment and other types of units,Co-op,0,0
April 1995,May 1994,1995-05-01,Apartment and other types of units,Co-op,0,0
May 1995,June 1994,1995-06-01,Apartment and other types of units,Co-op,0,0
June 1995,July 1994,1995-07-01,Apartment and other types of units,Co-op,0,0
July 1995,August 1994,1995-08-01,Apartment and other types of units,Co-op,0,0
August 1995,September 1994,1995-09-01,Apartment and other types of units,Co-op,0,0
September 1995,October 1994,1995-10-01,Apartment and other types of units,Co-op,0,0
October 1995,November 1994,1995-11-01,Apartment and other types of units,Co-op,0,0
November 1995,December 1994,1995-12-01,Apartment and other types of units,Co-op,0,0
December 1995,January 1995,1996-01-01,Apartment and other types of units,Co-op,0,0
January 1996,February 1995,1996-02-01,Apartment and other types of units,Co-op,0,0
February 1996,March 1995,1996-03-01,Apartment and other types of units,Co-op,0,0
March 1996,April 1995,1996-04-01,Apartment and other types of units,Co-op,0,0
April 1996,May 1995,1996-05-01,Apartment and other types of units,Co-op,0,0
May 1996,June 1995,1996-06-01,Apartment and other types of units,Co-op,0,0
June 1996,July 1995,1996-07-01,Apartment and other types of units,Co-op,0,0
