_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total commercial,21967659,21967659
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total industrial,3475372,3475372
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total institutional and governmental,5780449,5780449
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - constant,Total residential,76580066,76580066
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total commercial,20854663,20854663
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total industrial,3299506,3299506
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total institutional and governmental,5488561,5488561
2009-12-01,2009-01-01,2010-01-01,Seasonally adjusted - current,Total residential,72617748,72617748
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total commercial,23132248,23132248
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total industrial,3473164,3473164
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total institutional and governmental,5502269,5502269
2009-12-01,2009-01-01,2010-01-01,Unadjusted - constant,Total residential,62996003,62996003
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total commercial,21975636,21975636
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total industrial,3299506,3299506
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total institutional and governmental,5227155,5227155
2009-12-01,2009-01-01,2010-01-01,Unadjusted - current,Total residential,59817023,59817023
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total commercial,21246386,21246386
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total industrial,3250716,3250716
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total institutional and governmental,5816877,5816877
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - constant,Total residential,80939231,80939231
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total commercial,20190381,20190381
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total industrial,3089650,3089650
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total institutional and governmental,5529179,5529179
2010-01-01,2009-02-01,2010-02-01,Seasonally adjusted - current,Total residential,76857633,76857633
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total commercial,22203304,22203304
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total industrial,3252263,3252263
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total institutional and governmental,5391426,5391426
2010-01-01,2009-02-01,2010-02-01,Unadjusted - constant,Total residential,55024153,55024153
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total commercial,21093139,21093139
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total industrial,3089650,3089650
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total institutional and governmental,5121855,5121855
2010-01-01,2009-02-01,2010-02-01,Unadjusted - current,Total residential,52311214,52311214
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total commercial,20544107,20544107
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total industrial,3832811,3832811
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total institutional and governmental,5704725,5704725
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - constant,Total residential,88911625,88911625
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total commercial,19551270,19551270
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total industrial,3647985,3647985
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total institutional and governmental,5429991,5429991
2010-02-01,2009-03-01,2010-03-01,Seasonally adjusted - current,Total residential,84572442,84572442
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total commercial,20848264,20848264
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total industrial,3839984,3839984
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total institutional and governmental,5018313,5018313
2010-02-01,2009-03-01,2010-03-01,Unadjusted - constant,Total residential,56749885,56749885
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total commercial,19805850,19805850
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total industrial,3647985,3647985
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total institutional and governmental,4767397,4767397
2010-02-01,2009-03-01,2010-03-01,Unadjusted - current,Total residential,54034307,54034307
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total commercial,21136134,21136134
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total industrial,2433333,2433333
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total institutional and governmental,5782957,5782957
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - constant,Total residential,103757965,103757965
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total commercial,20886208,20886208
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total industrial,2405564,2405564
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total institutional and governmental,5719353,5719353
2011-11-01,2010-12-01,2011-12-01,Seasonally adjusted - current,Total residential,101987026,101987026
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total commercial,22354226,22354226
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total industrial,2442197,2442197
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total institutional and governmental,5904128,5904128
2011-11-01,2010-12-01,2011-12-01,Unadjusted - constant,Total residential,99383074,99383074
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total commercial,22018913,22018913
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total industrial,2405564,2405564
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total institutional and governmental,5815566,5815566
2011-11-01,2010-12-01,2011-12-01,Unadjusted - current,Total residential,97521825,97521825
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total commercial,21764418,21764418
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total industrial,2703928,2703928
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total institutional and governmental,5485900,5485900
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - constant,Total residential,105794146,105794146
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total commercial,21578408,21578408
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total industrial,2681149,2681149
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total institutional and governmental,5442020,5442020
2011-12-01,2011-01-01,2012-01-01,Seasonally adjusted - current,Total residential,104098459,104098459
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total commercial,22809730,22809730
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total industrial,2702771,2702771
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total institutional and governmental,5212077,5212077
2011-12-01,2011-01-01,2012-01-01,Unadjusted - constant,Total residential,92806038,92806038
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total commercial,22627252,22627252
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total industrial,2681149,2681149
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total institutional and governmental,5170380,5170380
2011-12-01,2011-01-01,2012-01-01,Unadjusted - current,Total residential,91294447,91294447
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total commercial,21467456,21467456
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total industrial,2738610,2738610
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total institutional and governmental,4781817,4781817
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - constant,Total residential,101879685,101879685
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total commercial,21313316,21313316
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total industrial,2719029,2719029
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total institutional and governmental,4749815,4749815
2012-01-01,2011-02-01,2012-02-01,Seasonally adjusted - current,Total residential,101240204,101240204
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total commercial,22266224,22266224
2012-01-01,2011-02-01,2012-02-01,Unadjusted - constant,Total industrial,2740957,2740957
