_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q1 2012,1,2012-10-01,2012-01-01,2013-01-01,HRM,11.58,11.58,0.081
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Atlantic Acres Industrial Park,,,
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Bayers Lake,,,
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Bedford,,,
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Burnside,11.35,11.35,0.079
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Halifax,12.72,12.72,0.065
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Ragged Lake Business Park,,,
Q1 2012,0,2012-10-01,2012-01-01,2013-01-01,Sackville,,,
Q2 2012,1,2013-01-01,2012-04-01,2013-04-01,HRM,11.6,11.6,0.079
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Atlantic Acres Industrial Park,,,
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Bayers Lake,,,
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Bedford,,,
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Burnside,11.35,11.35,0.074
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Halifax,12.72,12.72,0.065
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Ragged Lake Business Park,,,
Q2 2012,0,2013-01-01,2012-04-01,2013-04-01,Sackville,,,
Q3 2012,1,2013-04-01,2012-07-01,2013-07-01,HRM,11.62,11.62,0.076
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Atlantic Acres Industrial Park,,,
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Bayers Lake,,,
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Bedford,,,
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Burnside,11.39,11.39,0.073
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Halifax,12.72,12.72,0.049
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Ragged Lake Business Park,,,
Q3 2012,0,2013-04-01,2012-07-01,2013-07-01,Sackville,,,
Q4 2012,1,2013-07-01,2012-10-01,2013-10-01,HRM,11.57,11.57,0.087
Q4 2012,0,2013-07-01,2012-10-01,2013-10-01,Atlantic Acres Industrial Park,,,
Q4 2012,0,2013-07-01,2012-10-01,2013-10-01,Bayers Lake,,,
Q4 2012,0,2013-07-01,2012-10-01,2013-10-01,Bedford,,,
Q4 2012,0,2013-07-01,2012-10-01,2013-10-01,Burnside,11.33,11.33,0.086
