_officeFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent - All Classes (psf),Gross Rent - Class A (psf),Vacancy Rate
0,2012-10-01,2012-01-01,2013-01-01,Bedford,24.56,24.56,29.49,0.232
0,2012-10-01,2012-01-01,2013-01-01,Dartmouth,25.28,25.28,26.2,0.072
0,2012-10-01,2012-01-01,2013-01-01,Halifax - Central Business District,28.74,28.74,33.35,0.109
0,2012-10-01,2012-01-01,2013-01-01,Halifax - Suburban,26.2,26.2,28.74,0.071
1,2012-10-01,2012-01-01,2013-01-01,HRM,27.06,27.06,29.248780297,0.096
0,2013-01-01,2012-04-01,2013-04-01,Bedford,24.56,24.56,29.49,0.2474
0,2013-01-01,2012-04-01,2013-04-01,Dartmouth,25.21,25.21,26.1,0.091
0,2013-01-01,2012-04-01,2013-04-01,Halifax - Central Business District,28.79,28.79,33.52,0.09
0,2013-01-01,2012-04-01,2013-04-01,Halifax - Suburban,26.1,26.1,28.79,0.064
1,2013-01-01,2012-04-01,2013-04-01,HRM,27.03,27.03,29.665119695,0.091
0,2013-04-01,2012-07-01,2013-07-01,Bedford,24.56,24.56,29.49,0.248
0,2013-04-01,2012-07-01,2013-07-01,Dartmouth,25.23,25.23,26.21,0.094
0,2013-04-01,2012-07-01,2013-07-01,Halifax - Central Business District,28.78,28.78,33.52,0.082
0,2013-04-01,2012-07-01,2013-07-01,Halifax - Suburban,26.21,26.21,28.78,0.092
1,2013-04-01,2012-07-01,2013-07-01,HRM,27.06,27.06,29.681696075,0.097
0,2013-07-01,2012-10-01,2013-10-01,Bedford,24.72,24.72,29.49,0.297
0,2013-07-01,2012-10-01,2013-10-01,Dartmouth,25.51,25.51,26.63,0.154
0,2013-07-01,2012-10-01,2013-10-01,Halifax - Central Business District,28.84,28.84,33.51,0.091
0,2013-07-01,2012-10-01,2013-10-01,Halifax - Suburban,26.63,26.63,28.84,0.098
1,2013-07-01,2012-10-01,2013-10-01,HRM,27.22,27.22,29.773430554,0.119
0,2013-10-01,2013-01-01,2014-01-01,Bedford,24.71,24.71,29.49,0.239
0,2013-10-01,2013-01-01,2014-01-01,Dartmouth,24.87,24.87,27.44,0.164
0,2013-10-01,2013-01-01,2014-01-01,Halifax - Central Business District,28.82,28.82,33.95,0.099
0,2013-10-01,2013-01-01,2014-01-01,Halifax - Suburban,26.42,26.42,28.82,0.105
1,2013-10-01,2013-01-01,2014-01-01,HRM,26.97,26.97,30.061028841,0.123
0,2014-01-01,2013-04-01,2014-04-01,Bedford,24.71,24.71,29.49,0.297
0,2014-01-01,2013-04-01,2014-04-01,Dartmouth,24.69,24.69,27.41,0.165
0,2014-01-01,2013-04-01,2014-04-01,Halifax - Central Business District,28.76,28.76,34.08,0.105
0,2014-01-01,2013-04-01,2014-04-01,Halifax - Suburban,26.43,26.43,28.36,0.086
1,2014-01-01,2013-04-01,2014-04-01,HRM,26.91,26.91,30.35,0.123
0,2014-04-01,2013-07-01,2014-07-01,Bedford,24.2,24.2,27.5,0.29
0,2014-04-01,2013-07-01,2014-07-01,Dartmouth,24.64,24.64,27.29,0.165
0,2014-04-01,2013-07-01,2014-07-01,Halifax - Central Business District,28.93,28.93,34.22,0.114
0,2014-04-01,2013-07-01,2014-07-01,Halifax - Suburban,26.47,26.47,28.24,0.088
1,2014-04-01,2013-07-01,2014-07-01,HRM,26.96,26.96,30.29,0.128
0,2014-07-01,2013-10-01,2014-10-01,Bedford,24.2,24.2,27.5,0.291
0,2014-07-01,2013-10-01,2014-10-01,Dartmouth,24.71,24.71,27.34,0.161
0,2014-07-01,2013-10-01,2014-10-01,Halifax - Central Business District,28.97,28.97,34.34,0.119
0,2014-07-01,2013-10-01,2014-10-01,Halifax - Suburban,26.58,26.58,28.24,0.077
1,2014-07-01,2013-10-01,2014-10-01,HRM,27.02,27.02,30.31,0.126
0,2014-10-01,2014-01-01,2015-01-01,Bedford,25.15,25.15,27.5,0.276
0,2014-10-01,2014-01-01,2015-01-01,Dartmouth,24.97,24.97,27.43,0.147
0,2014-10-01,2014-01-01,2015-01-01,Halifax - Central Business District,28.81,28.81,33.85,0.12
0,2014-10-01,2014-01-01,2015-01-01,Halifax - Suburban,27.38,27.38,29.6,0.107
1,2014-10-01,2014-01-01,2015-01-01,HRM,27.49,27.49,30.83,0.132
0,2015-01-01,2014-04-01,2015-04-01,Bedford,25.15,25.15,27.5,0.248
0,2015-01-01,2014-04-01,2015-04-01,Dartmouth,24.98,24.98,27.4,0.154
0,2015-01-01,2014-04-01,2015-04-01,Halifax - Central Business District,28.74,28.74,33.76,0.13
0,2015-01-01,2014-04-01,2015-04-01,Halifax - Suburban,27.39,27.39,29.54,0.104
1,2015-01-01,2014-04-01,2015-04-01,HRM,27.46,27.46,30.82,0.136
0,2015-04-01,2014-07-01,2015-07-01,Bedford,24.32,24.32,23.81,0.203
0,2015-04-01,2014-07-01,2015-07-01,Dartmouth,25.06,25.06,27.53,0.155
0,2015-04-01,2014-07-01,2015-07-01,Halifax - Central Business District,28.86,28.86,33.85,0.117
0,2015-04-01,2014-07-01,2015-07-01,Halifax - Suburban,27.52,27.52,29.54,0.117
1,2015-04-01,2014-07-01,2015-07-01,HRM,27.42,27.42,30.55,0.126
0,2015-07-01,2014-10-01,2015-10-01,Bedford,24.32,24.32,23.81,0.182
0,2015-07-01,2014-10-01,2015-10-01,Dartmouth,25.06,25.06,27.53,0.142
0,2015-07-01,2014-10-01,2015-10-01,Halifax - Central Business District,28.86,28.86,33.85,0.128
0,2015-07-01,2014-10-01,2015-10-01,Halifax - Suburban,27.52,27.52,29.54,0.133
1,2015-07-01,2014-10-01,2015-10-01,HRM,27.42,27.42,30.55,0.136
0,2015-10-01,2015-01-01,2016-01-01,Bedford,24.23,24.23,23.65,0.178
0,2015-10-01,2015-01-01,2016-01-01,Dartmouth,25.03,25.03,27.51,0.139
0,2015-10-01,2015-01-01,2016-01-01,Halifax - Central Business District,28.92,28.92,33.75,0.143
