Year,All-items,Owned accommodation,Rented accommodation,"Water, fuel and electricity"
1975-01-01,0.100775194,0.016447368,-0.002631579,0.077419355
1975-02-01,0.103846154,0.013029316,-0.002624672,0.077419355
1975-03-01,0.103448276,0.003215434,0,0.077419355
1975-04-01,0.098113208,0.009615385,-0.002610966,0.129032258
1975-05-01,0.089552239,0.006349206,0,0.129032258
1975-06-01,0.088560886,0,0.005208333,0.141935484
1975-07-01,0.094890511,0.003105590,0.005181347,0.180645161
1975-08-01,0.101818182,0.006153846,0.012953368,0.187096774
1975-09-01,0.097826087,0.012269939,0.010309278,0.187096774
1975-10-01,0.111510791,0.184210526,0.020512821,0.354838710
1975-11-01,0.110320285,0.179153094,0.028205128,0.346153846
1975-12-01,0.113475177,0.180064309,0.063660477,0.346153846
1976-01-01,0.109154930,0.194174757,0.063324538,0.257485030
1976-02-01,0.104529617,0.196141479,0.060526316,0.257485030
1976-03-01,0.104166667,0.201923077,0.062827225,0.257485030
1976-04-01,0.092783505,0.2,0.062827225,0.2
1976-05-01,0.095890411,0.201892744,0.062663185,0.2
1976-06-01,0.094915254,0.20625,0.062176166,0.186440678
1976-07-01,0.080000000,0.201238390,0.059278351,0.169398907
1976-08-01,0.079207921,0.198776758,0.061381074,0.163043478
1976-09-01,0.079207921,0.193939394,0.061224490,0.163043478
1976-10-01,0.061488673,0.086111111,0.055276382,0.076190476
1976-11-01,0.057692308,0.088397790,0.049875312,0.076190476
1976-12-01,0.050955414,0.081743869,0.052369077,0.076190476
1977-01-01,0.050793651,0.084010840,0.052109181,0.076190476
1977-02-01,0.056782334,0.080645161,0.064516129,0.076190476
1977-03-01,0.066037736,0.077333333,0.059113300,0.109523810
1977-04-01,0.081761006,0.071428571,0.066502463,0.271428571
1977-05-01,0.08125,0.070866142,0.066339066,0.280952381
1977-06-01,0.080495356,0.064766839,0.060975610,0.285714286
1977-07-01,0.083333333,0.064432990,0.065693431,0.289719626
1977-08-01,0.076452599,0.061224490,0.055421687,0.289719626
1977-09-01,0.082568807,0.060913706,0.057692308,0.331775701
1977-10-01,0.085365854,0.076726343,0.054761905,0.261061947
1977-11-01,0.084848485,0.073604061,0.054631829,0.261061947
1977-12-01,0.090909091,0.073047859,0.054502370,0.269911504
1978-01-01,0.087613293,0.067500000,0.051886792,0.269911504
1978-02-01,0.083582090,0.067164179,0.053613054,0.269911504
1978-03-01,0.079646018,0.069306931,0.053488372,0.274678112
1978-04-01,0.069767442,0.066666667,0.050808314,0.112359551
