_previousYear,_units,Dataset,Date,Table Names,_valueConnector,Value
1970-01-01,(2002=100),Consumer Price Index,1971-01-01,table 18100004.hyper/table 18100004,21.3,21.3
1970-02-01,(2002=100),Consumer Price Index,1971-02-01,table 18100004.hyper/table 18100004,21.3,21.3
1970-03-01,(2002=100),Consumer Price Index,1971-03-01,table 18100004.hyper/table 18100004,21.4,21.4
1970-04-01,(2002=100),Consumer Price Index,1971-04-01,table 18100004.hyper/table 18100004,21.7,21.7
1970-05-01,(2002=100),Consumer Price Index,1971-05-01,table 18100004.hyper/table 18100004,21.8,21.8
1970-06-01,(2002=100),Consumer Price Index,1971-06-01,table 18100004.hyper/table 18100004,21.8,21.8
1970-07-01,(2002=100),Consumer Price Index,1971-07-01,table 18100004.hyper/table 18100004,21.9,21.9
1970-08-01,(2002=100),Consumer Price Index,1971-08-01,table 18100004.hyper/table 18100004,21.9,21.9
1970-09-01,(2002=100),Consumer Price Index,1971-09-01,table 18100004.hyper/table 18100004,22,22
1970-10-01,(2002=100),Consumer Price Index,1971-10-01,table 18100004.hyper/table 18100004,21.9,21.9
1970-11-01,(2002=100),Consumer Price Index,1971-11-01,table 18100004.hyper/table 18100004,22,22
1970-12-01,(2002=100),Consumer Price Index,1971-12-01,table 18100004.hyper/table 18100004,22.2,22.2
1971-01-01,(2002=100),Consumer Price Index,1972-01-01,table 18100004.hyper/table 18100004,22.3,22.3
1971-02-01,(2002=100),Consumer Price Index,1972-02-01,table 18100004.hyper/table 18100004,22.3,22.3
1971-03-01,(2002=100),Consumer Price Index,1972-03-01,table 18100004.hyper/table 18100004,22.4,22.4
1971-04-01,(2002=100),Consumer Price Index,1972-04-01,table 18100004.hyper/table 18100004,22.6,22.6
1971-05-01,(2002=100),Consumer Price Index,1972-05-01,table 18100004.hyper/table 18100004,22.6,22.6
1971-06-01,(2002=100),Consumer Price Index,1972-06-01,table 18100004.hyper/table 18100004,22.6,22.6
1971-07-01,(2002=100),Consumer Price Index,1972-07-01,table 18100004.hyper/table 18100004,22.9,22.9
1971-08-01,(2002=100),Consumer Price Index,1972-08-01,table 18100004.hyper/table 18100004,23.1,23.1
1971-09-01,(2002=100),Consumer Price Index,1972-09-01,table 18100004.hyper/table 18100004,23.2,23.2
1971-10-01,(2002=100),Consumer Price Index,1972-10-01,table 18100004.hyper/table 18100004,23.2,23.2
1971-11-01,(2002=100),Consumer Price Index,1972-11-01,table 18100004.hyper/table 18100004,23.3,23.3
1971-12-01,(2002=100),Consumer Price Index,1972-12-01,table 18100004.hyper/table 18100004,23.4,23.4
1972-01-01,(2002=100),Consumer Price Index,1973-01-01,table 18100004.hyper/table 18100004,23.6,23.6
1972-02-01,(2002=100),Consumer Price Index,1973-02-01,table 18100004.hyper/table 18100004,23.7,23.7
1972-03-01,(2002=100),Consumer Price Index,1973-03-01,table 18100004.hyper/table 18100004,23.9,23.9
1972-04-01,(2002=100),Consumer Price Index,1973-04-01,table 18100004.hyper/table 18100004,24.2,24.2
1972-05-01,(2002=100),Consumer Price Index,1973-05-01,table 18100004.hyper/table 18100004,24.4,24.4
1972-06-01,(2002=100),Consumer Price Index,1973-06-01,table 18100004.hyper/table 18100004,24.5,24.5
1972-07-01,(2002=100),Consumer Price Index,1973-07-01,table 18100004.hyper/table 18100004,24.8,24.8
1972-08-01,(2002=100),Consumer Price Index,1973-08-01,table 18100004.hyper/table 18100004,25,25
1972-09-01,(2002=100),Consumer Price Index,1973-09-01,table 18100004.hyper/table 18100004,25.3,25.3
1972-10-01,(2002=100),Consumer Price Index,1973-10-01,table 18100004.hyper/table 18100004,25.4,25.4
1972-11-01,(2002=100),Consumer Price Index,1973-11-01,table 18100004.hyper/table 18100004,25.5,25.5
1972-12-01,(2002=100),Consumer Price Index,1973-12-01,table 18100004.hyper/table 18100004,25.6,25.6
1973-01-01,(2002=100),Consumer Price Index,1974-01-01,table 18100004.hyper/table 18100004,25.8,25.8
1973-02-01,(2002=100),Consumer Price Index,1974-02-01,table 18100004.hyper/table 18100004,26,26
1973-03-01,(2002=100),Consumer Price Index,1974-03-01,table 18100004.hyper/table 18100004,26.1,26.1
1973-04-01,(2002=100),Consumer Price Index,1974-04-01,table 18100004.hyper/table 18100004,26.5,26.5
1973-05-01,(2002=100),Consumer Price Index,1974-05-01,table 18100004.hyper/table 18100004,26.8,26.8
1973-06-01,(2002=100),Consumer Price Index,1974-06-01,table 18100004.hyper/table 18100004,27.1,27.1
1973-07-01,(2002=100),Consumer Price Index,1974-07-01,table 18100004.hyper/table 18100004,27.4,27.4
1973-08-01,(2002=100),Consumer Price Index,1974-08-01,table 18100004.hyper/table 18100004,27.5,27.5
1973-09-01,(2002=100),Consumer Price Index,1974-09-01,table 18100004.hyper/table 18100004,27.6,27.6
1973-10-01,(2002=100),Consumer Price Index,1974-10-01,table 18100004.hyper/table 18100004,27.8,27.8
1973-11-01,(2002=100),Consumer Price Index,1974-11-01,table 18100004.hyper/table 18100004,28.1,28.1
1973-12-01,(2002=100),Consumer Price Index,1974-12-01,table 18100004.hyper/table 18100004,28.2,28.2
1974-01-01,(2002=100),Consumer Price Index,1975-01-01,table 18100004.hyper/table 18100004,28.4,28.4
1974-02-01,(2002=100),Consumer Price Index,1975-02-01,table 18100004.hyper/table 18100004,28.7,28.7
1974-03-01,(2002=100),Consumer Price Index,1975-03-01,table 18100004.hyper/table 18100004,28.8,28.8
1974-04-01,(2002=100),Consumer Price Index,1975-04-01,table 18100004.hyper/table 18100004,29.1,29.1
1974-05-01,(2002=100),Consumer Price Index,1975-05-01,table 18100004.hyper/table 18100004,29.2,29.2
1974-06-01,(2002=100),Consumer Price Index,1975-06-01,table 18100004.hyper/table 18100004,29.5,29.5
1974-07-01,(2002=100),Consumer Price Index,1975-07-01,table 18100004.hyper/table 18100004,30,30
1974-08-01,(2002=100),Consumer Price Index,1975-08-01,table 18100004.hyper/table 18100004,30.3,30.3
1974-09-01,(2002=100),Consumer Price Index,1975-09-01,table 18100004.hyper/table 18100004,30.3,30.3
1974-10-01,(2002=100),Consumer Price Index,1975-10-01,table 18100004.hyper/table 18100004,30.9,30.9
1974-11-01,(2002=100),Consumer Price Index,1975-11-01,table 18100004.hyper/table 18100004,31.2,31.2
1974-12-01,(2002=100),Consumer Price Index,1975-12-01,table 18100004.hyper/table 18100004,31.4,31.4
1975-01-01,(2002=100),Consumer Price Index,1976-01-01,table 18100004.hyper/table 18100004,31.5,31.5
1975-02-01,(2002=100),Consumer Price Index,1976-02-01,table 18100004.hyper/table 18100004,31.7,31.7
1975-03-01,(2002=100),Consumer Price Index,1976-03-01,table 18100004.hyper/table 18100004,31.8,31.8
1975-04-01,(2002=100),Consumer Price Index,1976-04-01,table 18100004.hyper/table 18100004,31.8,31.8
1975-05-01,(2002=100),Consumer Price Index,1976-05-01,table 18100004.hyper/table 18100004,32,32
1975-06-01,(2002=100),Consumer Price Index,1976-06-01,table 18100004.hyper/table 18100004,32.3,32.3
1975-07-01,(2002=100),Consumer Price Index,1976-07-01,table 18100004.hyper/table 18100004,32.4,32.4
1975-08-01,(2002=100),Consumer Price Index,1976-08-01,table 18100004.hyper/table 18100004,32.7,32.7
1975-09-01,(2002=100),Consumer Price Index,1976-09-01,table 18100004.hyper/table 18100004,32.7,32.7
1975-10-01,(2002=100),Consumer Price Index,1976-10-01,table 18100004.hyper/table 18100004,32.8,32.8
1975-11-01,(2002=100),Consumer Price Index,1976-11-01,table 18100004.hyper/table 18100004,33,33
1975-12-01,(2002=100),Consumer Price Index,1976-12-01,table 18100004.hyper/table 18100004,33,33
1976-01-01,(2002=100),Consumer Price Index,1977-01-01,table 18100004.hyper/table 18100004,33.1,33.1
1976-02-01,(2002=100),Consumer Price Index,1977-02-01,table 18100004.hyper/table 18100004,33.5,33.5
1976-03-01,(2002=100),Consumer Price Index,1977-03-01,table 18100004.hyper/table 18100004,33.9,33.9
1976-04-01,(2002=100),Consumer Price Index,1977-04-01,table 18100004.hyper/table 18100004,34.4,34.4
1976-05-01,(2002=100),Consumer Price Index,1977-05-01,table 18100004.hyper/table 18100004,34.6,34.6
1976-06-01,(2002=100),Consumer Price Index,1977-06-01,table 18100004.hyper/table 18100004,34.9,34.9
1976-07-01,(2002=100),Consumer Price Index,1977-07-01,table 18100004.hyper/table 18100004,35.1,35.1
1976-08-01,(2002=100),Consumer Price Index,1977-08-01,table 18100004.hyper/table 18100004,35.2,35.2
1976-09-01,(2002=100),Consumer Price Index,1977-09-01,table 18100004.hyper/table 18100004,35.4,35.4
1976-10-01,(2002=100),Consumer Price Index,1977-10-01,table 18100004.hyper/table 18100004,35.6,35.6
1976-11-01,(2002=100),Consumer Price Index,1977-11-01,table 18100004.hyper/table 18100004,35.8,35.8
1976-12-01,(2002=100),Consumer Price Index,1977-12-01,table 18100004.hyper/table 18100004,36,36
1977-01-01,(2002=100),Consumer Price Index,1978-01-01,table 18100004.hyper/table 18100004,36,36
1977-02-01,(2002=100),Consumer Price Index,1978-02-01,table 18100004.hyper/table 18100004,36.3,36.3
1977-03-01,(2002=100),Consumer Price Index,1978-03-01,table 18100004.hyper/table 18100004,36.6,36.6
1977-04-01,(2002=100),Consumer Price Index,1978-04-01,table 18100004.hyper/table 18100004,36.8,36.8
1977-05-01,(2002=100),Consumer Price Index,1978-05-01,table 18100004.hyper/table 18100004,37,37
1977-06-01,(2002=100),Consumer Price Index,1978-06-01,table 18100004.hyper/table 18100004,37.4,37.4
1977-07-01,(2002=100),Consumer Price Index,1978-07-01,table 18100004.hyper/table 18100004,37.7,37.7
1977-08-01,(2002=100),Consumer Price Index,1978-08-01,table 18100004.hyper/table 18100004,38,38
1977-09-01,(2002=100),Consumer Price Index,1978-09-01,table 18100004.hyper/table 18100004,38,38
1977-10-01,(2002=100),Consumer Price Index,1978-10-01,table 18100004.hyper/table 18100004,38.6,38.6
1977-11-01,(2002=100),Consumer Price Index,1978-11-01,table 18100004.hyper/table 18100004,38.7,38.7
1977-12-01,(2002=100),Consumer Price Index,1978-12-01,table 18100004.hyper/table 18100004,38.9,38.9
1978-01-01,(2002=100),Consumer Price Index,1979-01-01,table 18100004.hyper/table 18100004,39,39
1978-02-01,(2002=100),Consumer Price Index,1979-02-01,table 18100004.hyper/table 18100004,39.3,39.3
1978-03-01,(2002=100),Consumer Price Index,1979-03-01,table 18100004.hyper/table 18100004,39.8,39.8
1978-04-01,(2002=100),Consumer Price Index,1979-04-01,table 18100004.hyper/table 18100004,40.1,40.1
1978-05-01,(2002=100),Consumer Price Index,1979-05-01,table 18100004.hyper/table 18100004,40.6,40.6
1978-06-01,(2002=100),Consumer Price Index,1979-06-01,table 18100004.hyper/table 18100004,40.8,40.8
1978-07-01,(2002=100),Consumer Price Index,1979-07-01,table 18100004.hyper/table 18100004,41.2,41.2
1978-08-01,(2002=100),Consumer Price Index,1979-08-01,table 18100004.hyper/table 18100004,41.2,41.2
1978-09-01,(2002=100),Consumer Price Index,1979-09-01,table 18100004.hyper/table 18100004,41.5,41.5
1978-10-01,(2002=100),Consumer Price Index,1979-10-01,table 18100004.hyper/table 18100004,41.7,41.7
1978-11-01,(2002=100),Consumer Price Index,1979-11-01,table 18100004.hyper/table 18100004,42.3,42.3
1978-12-01,(2002=100),Consumer Price Index,1979-12-01,table 18100004.hyper/table 18100004,42.3,42.3
1979-01-01,(2002=100),Consumer Price Index,1980-01-01,table 18100004.hyper/table 18100004,42.7,42.7
1979-02-01,(2002=100),Consumer Price Index,1980-02-01,table 18100004.hyper/table 18100004,43.1,43.1
1979-03-01,(2002=100),Consumer Price Index,1980-03-01,table 18100004.hyper/table 18100004,43.8,43.8
1979-04-01,(2002=100),Consumer Price Index,1980-04-01,table 18100004.hyper/table 18100004,44.1,44.1
1979-05-01,(2002=100),Consumer Price Index,1980-05-01,table 18100004.hyper/table 18100004,44.5,44.5
1979-06-01,(2002=100),Consumer Price Index,1980-06-01,table 18100004.hyper/table 18100004,45,45
1979-07-01,(2002=100),Consumer Price Index,1980-07-01,table 18100004.hyper/table 18100004,45.4,45.4
1979-08-01,(2002=100),Consumer Price Index,1980-08-01,table 18100004.hyper/table 18100004,45.8,45.8
1979-09-01,(2002=100),Consumer Price Index,1980-09-01,table 18100004.hyper/table 18100004,46.1,46.1
1979-10-01,(2002=100),Consumer Price Index,1980-10-01,table 18100004.hyper/table 18100004,46.7,46.7
1979-11-01,(2002=100),Consumer Price Index,1980-11-01,table 18100004.hyper/table 18100004,47.5,47.5
1979-12-01,(2002=100),Consumer Price Index,1980-12-01,table 18100004.hyper/table 18100004,47.6,47.6
1980-01-01,(2002=100),Consumer Price Index,1981-01-01,table 18100004.hyper/table 18100004,48,48
1980-02-01,(2002=100),Consumer Price Index,1981-02-01,table 18100004.hyper/table 18100004,48.5,48.5
1980-03-01,(2002=100),Consumer Price Index,1981-03-01,table 18100004.hyper/table 18100004,49.1,49.1
1980-04-01,(2002=100),Consumer Price Index,1981-04-01,table 18100004.hyper/table 18100004,49.4,49.4
1980-05-01,(2002=100),Consumer Price Index,1981-05-01,table 18100004.hyper/table 18100004,49.9,49.9
1980-06-01,(2002=100),Consumer Price Index,1981-06-01,table 18100004.hyper/table 18100004,50.7,50.7
1980-07-01,(2002=100),Consumer Price Index,1981-07-01,table 18100004.hyper/table 18100004,50.9,50.9
1980-08-01,(2002=100),Consumer Price Index,1981-08-01,table 18100004.hyper/table 18100004,51.2,51.2
1980-09-01,(2002=100),Consumer Price Index,1981-09-01,table 18100004.hyper/table 18100004,51.7,51.7
1980-10-01,(2002=100),Consumer Price Index,1981-10-01,table 18100004.hyper/table 18100004,52.1,52.1
