Week,Gate Wait Avg,Truck Service Average,Terminal
1,15,26,Fairview Cove
2,17,27,Fairview Cove
3,13,17,Fairview Cove
4,14,19,Fairview Cove
5,18,19,Fairview Cove
6,19,22,Fairview Cove
7,13,23,Fairview Cove
8,21,20,Fairview Cove
9,17,23,Fairview Cove
10,16,21,Fairview Cove
11,16,21,Fairview Cove
12,19,26,Fairview Cove
13,13,18,Fairview Cove
14,17,22,Fairview Cove
15,14,21,Fairview Cove
16,14,21,Fairview Cove
17,13,18,Fairview Cove
18,16,20,Fairview Cove
19,16,19,Fairview Cove
1,26,41,South End
2,21,42,South End
3,25,46,South End
4,18,43,South End
5,35,48,South End
6,21,49,South End
7,23,44,South End
8,28,41,South End
9,23,37,South End
10,38,47,South End
11,25,42,South End
12,23,37,South End
13,22,45,South End
14,17,42,South End
15,26,47,South End
16,31,44,South End
17,37,46,South End
18,37,46,South End
19,46,40,South End
